m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
14, 14, 14, 1, 1, 14, 34.310722
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 0.524017
4, 4, 1, 4, 4, 1, 4.782067
6, 6, 1, 6, 6, 1, 9.840547
8, 8, 1, 8, 8, 1, 17.594501
10, 10, 1, 10, 10, 1, 23.692003
12, 12, 1, 12, 12, 1, 27.603834
14, 14, 1, 14, 14, 1, 37.874393
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 1.043478
4, 4, 8, 4, 4, 2, 2.768565
6, 6, 12, 6, 6, 2, 4.281466
8, 8, 16, 8, 8, 2, 3.853487
10, 10, 20, 10, 10, 2, 4.608295
12, 12, 24, 12, 12, 2, 5.827993
14, 14, 28, 14, 14, 2, 7.445394
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.439280
4, 2, 2, 1, 1, 2, 2.436548
6, 2, 2, 1, 1, 2, 3.645570
8, 2, 2, 1, 1, 2, 4.836272
10, 2, 2, 1, 1, 2, 5.832321
12, 2, 2, 1, 1, 2, 7.669774
14, 2, 2, 1, 1, 2, 11.144279
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.230769
2, 4, 4, 1, 1, 4, 2.433460
2, 6, 6, 1, 1, 6, 3.640961
2, 8, 8, 1, 1, 8, 4.879288
2, 10, 10, 1, 1, 10, 6.374502
2, 12, 12, 1, 1, 12, 9.473684
2, 14, 14, 1, 1, 14, 13.202357
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 1.053787
4, 4, 4, 1, 4, 1, 3.764706
6, 6, 6, 1, 6, 1, 4.100617
8, 8, 8, 1, 8, 1, 20.237154
10, 10, 10, 1, 10, 1, 23.369036
12, 12, 12, 1, 12, 1, 27.692308
14, 14, 14, 1, 14, 1, 29.715731
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 0.475483
4, 4, 1, 4, 1, 4, 1.521395
6, 6, 1, 6, 1, 6, 4.390244
8, 8, 1, 8, 1, 8, 4.178455
10, 10, 1, 10, 1, 10, 4.703115
12, 12, 1, 12, 1, 12, 5.245902
14, 14, 1, 14, 1, 14, 7.177297
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.241915
4, 4, 4, 1, 1, 4, 4.897959
6, 6, 6, 1, 1, 6, 9.696969
8, 8, 8, 1, 1, 8, 17.494305
10, 10, 10, 1, 1, 10, 23.762375
12, 12, 12, 1, 1, 12, 29.665237
14, 14, 14, 1, 1, 14, 46.620415
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 2.513089
4, 4, 1, 4, 4, 1, 10.971428
6, 6, 1, 6, 6, 1, 24.899136
8, 8, 1, 8, 8, 1, 40.851063
10, 10, 1, 10, 10, 1, 47.713718
12, 12, 1, 12, 12, 1, 50.086956
14, 14, 1, 14, 14, 1, 53.821510
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 0.475248
4, 4, 8, 4, 4, 2, 13.473684
6, 6, 12, 6, 6, 2, 20.869564
8, 8, 16, 8, 8, 2, 3.911383
10, 10, 20, 10, 10, 2, 5.217391
12, 12, 24, 12, 12, 2, 7.168637
14, 14, 28, 14, 14, 2, 8.917536
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.603774
4, 2, 2, 1, 1, 2, 11.707317
6, 2, 2, 1, 1, 2, 17.560976
8, 2, 2, 1, 1, 2, 4.854614
10, 2, 2, 1, 1, 2, 8.465609
12, 2, 2, 1, 1, 2, 11.451292
14, 2, 2, 1, 1, 2, 15.591647
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 0.727824
2, 4, 4, 1, 1, 4, 2.857143
2, 6, 6, 1, 1, 6, 3.650190
2, 8, 8, 1, 1, 8, 4.897959
2, 10, 10, 1, 1, 10, 5.804111
2, 12, 12, 1, 1, 12, 7.639257
2, 14, 14, 1, 1, 14, 10.338462
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 1.169306
4, 4, 4, 1, 4, 1, 3.710145
6, 6, 6, 1, 6, 1, 6.132009
8, 8, 8, 1, 8, 1, 10.098619
10, 10, 10, 1, 10, 1, 14.101057
12, 12, 12, 1, 12, 1, 14.826256
14, 14, 14, 1, 14, 1, 18.092308
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 2.318841
4, 4, 1, 4, 1, 4, 5.898617
6, 6, 1, 6, 1, 6, 6.889952
8, 8, 1, 8, 1, 8, 10.463215
10, 10, 1, 10, 1, 10, 11.065006
12, 12, 1, 12, 1, 12, 17.796087
14, 14, 1, 14, 1, 14, 19.239264
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 2.580645
4, 4, 4, 1, 1, 4, 8.807339
6, 6, 6, 1, 1, 6, 16.776699
8, 8, 8, 1, 1, 8, 26.666666
10, 10, 10, 1, 1, 10, 32.432434
12, 12, 12, 1, 1, 12, 135.529419
14, 14, 14, 1, 1, 14, 166.808517
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 1.224490
4, 4, 1, 4, 4, 1, 4.873096
6, 6, 1, 6, 6, 1, 46.956524
8, 8, 1, 8, 8, 1, 83.478264
10, 10, 1, 10, 10, 1, 113.744080
12, 12, 1, 12, 12, 1, 131.406845
14, 14, 1, 14, 14, 1, 168.000000
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 5.079365
4, 4, 8, 4, 4, 2, 3.160494
6, 6, 12, 6, 6, 2, 6.595420
8, 8, 16, 8, 8, 2, 7.269285
10, 10, 20, 10, 10, 2, 9.170807
12, 12, 24, 12, 12, 2, 11.481728
14, 14, 28, 14, 14, 2, 13.921279
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.476923
4, 2, 2, 1, 1, 2, 2.461539
6, 2, 2, 1, 1, 2, inf
8, 2, 2, 1, 1, 2, 7.529412
10, 2, 2, 1, 1, 2, 7.947020
12, 2, 2, 1, 1, 2, 7.690254
14, 2, 2, 1, 1, 2, 8.175182
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 1.229193
2, 4, 4, 1, 1, 4, 2.439644
2, 6, 6, 1, 1, 6, 3.631778
2, 8, 8, 1, 1, 8, 4.800000
2, 10, 10, 1, 1, 10, 5.811138
2, 12, 12, 1, 1, 12, 8.228571
2, 14, 14, 1, 1, 14, 11.893805
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 1.057269
6, 6, 6, 1, 6, 1, 3.226288
10, 10, 10, 1, 10, 1, 4.816376
14, 14, 14, 1, 14, 1, 6.181340
18, 18, 18, 1, 18, 1, 6.686731
22, 22, 22, 1, 22, 1, 7.106761
26, 26, 26, 1, 26, 1, 7.395050
30, 30, 30, 1, 30, 1, 8.983530
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 1.049180
6, 6, 1, 6, 1, 6, 4.063970
10, 10, 1, 10, 1, 10, 4.711425
